Code,Age,Household Number,Household with Children Number,Household with Children Ratio
92660,46,35832,5971,0.166638759
95350,37,54801,7362,0.134340614
77024,43.5,38606,7865,0.20372481
30318,30.9,56721,4247,0.074875267
30240,36.2,29639,3457,0.116636864
33823,39.5,33981,3824,0.112533475
62704,39.9,41115,4311,0.104852244
75605,41,30833,3999,0.129698699
79912,34.7,79120,12617,0.159466633
72703,32.1,33060,4767,0.144192377
97302,39.9,39128,5423,0.138596402
95825,32.4,37881,4079,0.107679312
31602,29.4,37025,3921,0.105901418
21076,37.3,17632,2026,0.114904719
48188,40,42339,7719,0.182314178
77503,30.6,25078,3890,0.155116038
31904,36.4,33073,4311,0.130348018
93550,29.4,78351,11063,0.141197943
44212,40.8,45111,7101,0.157411718
37211,33,76783,9917,0.129156193
85286,34.5,45374,10057,0.221646758
49015,38,27764,3600,0.129664313
6851,43.7,27413,3646,0.13300259
49008,31.3,17197,1837,0.106820957
32210,35.8,62724,6676,0.106434539
54952,38.9,27366,3944,0.144120441
70570,37.3,40345,5083,0.12598835
38401,39.3,62460,8569,0.137191803
76308,34.1,19705,2482,0.125957879
29316,37.4,27023,4638,0.171631573
38671,35.4,37864,4262,0.112560744
61112,86.9,62,0,0
75701,33.6,36249,4540,0.125244834
85635,39.3,34317,4291,0.125040068
11201,35.3,64069,7504,0.117123726
95815,32.6,25953,3353,0.129195083
85364,32.5,75143,9248,0.123072009
97526,46.5,36311,3711,0.102200435
54935,39.5,42615,5368,0.125965036
85705,35.2,56928,4369,0.076746065
20794,37.4,18134,1619,0.089279806
59802,37.8,19469,1854,0.095228312
43138,40.5,18182,2004,0.110218898
27284,42.8,56094,7944,0.141619425
97330,33.6,43424,4200,0.096720707
85711,36.1,40843,4146,0.101510663
85283,34.1,52056,4597,0.088308744
29650,40.1,35637,7090,0.198950529
27613,39.3,42785,7869,0.183919598
85032,37.7,74001,8178,0.11051202
32806,38.1,27962,3252,0.116300694
43123,39.1,66292,10201,0.153879805
82901,34,29431,5804,0.197207027
83709,37.2,59027,10554,0.178799532
21740,38.4,62441,6390,0.102336606
38305,37.5,52763,6956,0.131834808
60538,32.8,29663,6566,0.221353201
85282,32.7,56271,5223,0.092818681
45013,40.4,54925,7321,0.133290851
88310,38.3,37107,4099,0.110464333
87123,38.8,44850,5165,0.11516165
21244,35.9,36790,4317,0.117341669
55371,38.3,17062,2701,0.158305005
28056,42.6,34747,5351,0.153998906
85017,26.8,43121,6405,0.148535516
89102,36.1,39879,3657,0.0917024
78753,32.1,61085,8431,0.138020791
89107,36.3,39360,4355,0.110645325
62056,45.4,8599,944,0.109780207
89030,29.8,50966,7050,0.138327512
48858,24.8,51072,3865,0.075677475
92071,38.6,58339,8807,0.150962478
43229,33.4,55227,6517,0.118003875
33563,36.5,28338,3477,0.122697438
24354,46.9,14085,1175,0.08342208
98662,38.3,33513,5251,0.156685465
48073,37.3,35078,3976,0.113347397
31069,37.6,20517,3045,0.148413511
30161,41.5,34531,3986,0.11543251
98632,41,52065,5607,0.107692308
75050,31.3,43644,6504,0.149023921
72401,33.3,59365,6531,0.110014318
43701,42.1,55855,5803,0.103894011
37412,40.5,21440,2603,0.121408582
37204,30.2,15620,1973,0.12631242
92346,34.4,64553,8790,0.13616718
77706,37.8,29795,4047,0.135828159
80219,32.8,71408,11276,0.157909478
33067,41.2,27656,4215,0.152408157
47906,22.8,78549,9006,0.114654547
46250,35.2,18602,1947,0.104666165
32907,41.7,45528,5337,0.117224565
97068,44.5,29904,6191,0.20702916
30013,38.5,26844,3354,0.124944122
19701,41.6,40611,5656,0.139272611
91732,36.4,63591,6320,0.099385133
52342,43.2,3473,467,0.13446588
91335,37.5,82716,10205,0.123373954
90007,24.6,42895,2258,0.052640168
97266,37.3,36116,4674,0.129416325
10704,41.8,32028,3455,0.10787436
97470,43.9,20000,1811,0.09055
45011,38.1,71965,11478,0.159494199
11236,38.4,101943,8460,0.082987552
45066,38.8,25313,6379,0.252004899
94536,38.1,75653,13853,0.183112368
97301,34.3,56808,6808,0.119842276
88001,27,36443,3117,0.085530829
33351,36.6,36159,4192,0.11593241
3103,34.8,37340,4027,0.107846813
34747,38.4,21586,3140,0.145464653
85033,26.5,65539,11284,0.172172294
30066,40.7,56547,8647,0.152917042
27407,34.3,52466,6416,0.12228872
43068,36.2,55401,7463,0.13470876
91001,44.8,38230,4303,0.112555585
91010,41.1,26667,2689,0.10083624
48661,48.9,10583,1185,0.111972031
29582,58.2,16837,1001,0.059452397
48879,41.7,18176,2838,0.156139965
37923,36.9,31958,4559,0.142655986
17325,43.5,28700,2964,0.103275261
49202,37.5,19499,1890,0.096928048
92629,50.1,27170,3310,0.121825543
57701,36.3,46219,4026,0.087107034
32084,41.2,36151,2974,0.082266051
49505,35.9,32725,3586,0.109579832
91006,44.8,33317,5240,0.157277066
2360,47.7,60478,7007,0.115860313
32514,32.4,42906,3995,0.093110521
70072,40.3,56486,5575,0.098697022
85210,31,41521,4907,0.118181161
47978,39.6,11640,2061,0.177061856
91773,41.4,34377,4456,0.129621549
29210,33.1,39740,2666,0.067086059
43147,37.3,41982,9541,0.227264066
11215,36.9,70635,12116,0.171529695
21236,37.5,40140,5383,0.13410563
16701,41.2,17312,1870,0.10801756
99163,22.5,35517,3376,0.095053073
8059,39,5658,609,0.107635207
93720,37.7,47594,7168,0.150607219
90717,40.2,21742,2981,0.137107902
98101,38.8,13639,300,0.021995747
91910,38.2,75671,9880,0.13056521
30040,38,73704,16273,0.22078856
98105,23.4,50984,4408,0.086458497
85204,32.3,68664,10391,0.15133112
30132,36.9,43071,7459,0.173179169
71203,32.9,39497,4164,0.105425729
37814,40.3,34585,4642,0.134220038
30064,41.4,49793,9071,0.182174201
26101,40.5,29439,3325,0.112945413
90033,31.4,49691,4432,0.089191202
89146,41.9,18898,1664,0.088051646
32218,35.2,64705,8573,0.132493625
46037,37.3,42346,10541,0.248925518
55912,38.4,29285,4189,0.143042513
94523,41.3,35386,4975,0.140592325
90220,32,53393,7280,0.136347461
74136,34.8,31523,3237,0.102686927
32256,34.3,48465,5717,0.117961415
89128,40.8,36055,3345,0.092774927
43207,37.4,47226,4191,0.088743489
44115,26.6,8607,268,0.031137446
32407,39.8,10940,1121,0.102468007
52404,34.9,40718,4613,0.113291419
37040,30.6,52723,8024,0.152191643
87124,40.5,55774,8290,0.148635565
44663,43.5,25581,2951,0.115359056
78750,39.7,32080,5914,0.184351621
37076,37,40599,5101,0.125643489
60035,47.6,29959,6111,0.203978771
44306,32.1,21947,1145,0.05217114
71106,39.1,36313,4218,0.116156748
95122,34.2,56733,7119,0.125482523
21286,40.4,20065,2296,0.114428109
30062,40.7,66518,12965,0.194909649
15301,45.8,49345,4823,0.097740399
80010,31.7,43273,6101,0.140988607
14623,27.3,26175,1793,0.068500478
38655,32.5,44010,5319,0.120858896
90023,31.7,47189,6106,0.129394562
19015,37.4,16992,1699,0.09998823
32746,41.6,45737,6468,0.141417233
45102,39.7,22269,3313,0.148771835
62234,40,32828,4579,0.139484586
82414,47.3,15377,2027,0.131820251
91740,41,26159,3491,0.133453114
90304,30.5,26229,4038,0.153951733
91706,35.4,77769,9024,0.116035953
13760,44.4,42834,5285,0.123383294
42066,39.4,24051,3165,0.13159536
96732,38,29392,3770,0.128266195
44512,45,33048,3836,0.11607359
33016,41,52263,5757,0.110154411
92376,30.3,87023,11470,0.131804236
1201,45.2,44942,3833,0.085287704
2538,40.1,4173,365,0.08746705
95678,37.4,42511,6271,0.147514761
92123,33.9,32827,3753,0.114326621
28273,33.4,41619,5154,0.12383767
20109,31.1,43563,7410,0.170098478
38501,34.8,39508,3379,0.085526982
78227,32.2,51954,6593,0.12690072
48912,31.8,17642,1110,0.062918037
33511,37.5,59474,6780,0.113999395
2169,39,57139,5791,0.101349341
32405,39.3,32590,3748,0.115004603
30720,37.1,27713,4241,0.153032873
88220,36.6,37736,4686,0.124178503
79762,31.6,44289,6929,0.156449683
85226,37.4,39584,6187,0.156300525
52806,37.4,28596,4301,0.150405651
78758,32.7,49527,6031,0.121771963
78745,36.4,62582,6181,0.098766418
65804,40.3,37869,4665,0.123187832
78251,32.9,62864,10120,0.160982438
8854,32.8,57567,6098,0.105928744
60634,40.1,75900,11039,0.14544137
90650,35.3,106452,13521,0.127014993
32720,45.8,32774,2667,0.081375481
96818,31.2,60329,13044,0.216214424
3867,42.3,21826,2354,0.107853019
15237,44.1,43025,6700,0.155723417
77471,32.1,41661,6123,0.146971988
46032,38.3,52113,10552,0.202483066
23320,37.6,58247,7151,0.122770271
27607,24.6,29188,2833,0.097060436
77304,35,33727,5544,0.164378688
16509,44,27156,3373,0.124208278
72903,41.5,25028,3198,0.12777689
41042,39.1,52754,6190,0.117337074
70809,38.1,25895,3813,0.147248504
78681,36.6,58789,13506,0.229736856
48066,38.8,48025,4293,0.089390942
70471,43.2,21739,4243,0.195179171
37604,38,36433,3433,0.094227761
77581,36.5,48966,10218,0.208675407
85224,35.8,44312,6332,0.14289583
11753,45.5,12997,2455,0.188889744
85051,33.9,45807,5029,0.109786714
10452,32.1,76275,7005,0.091838741
23455,37.1,49800,6822,0.136987952
97086,40.2,31194,5266,0.168814516
42701,39.1,51199,7675,0.149905272
90620,38.5,46920,5912,0.126001705
91801,40.7,55365,5887,0.106330714
73119,28.5,32833,6159,0.187585661
30260,32.7,25644,2437,0.095031976
54982,49.9,7032,801,0.11390785
73099,35.8,71185,12856,0.180599845
15213,21.8,28182,319,0.011319282
60060,38.3,37953,6049,0.15938134
18052,40.4,27979,3329,0.118982094
91780,43.1,35516,5027,0.14154184
2215,22,26051,348,0.013358412
79606,34.2,25326,3627,0.143212509
19030,45.5,11920,1293,0.108473154
76028,37.3,71276,11897,0.166914529
70363,35.3,27141,2574,0.094838068
98052,35.2,71011,13398,0.188674994
43113,43.2,24793,2887,0.116444158
24073,41,31044,4418,0.142314135
7062,36.2,12884,1688,0.131015213
93033,30.7,85624,11667,0.136258526
37617,46.7,14352,1471,0.102494426
87108,36.3,37846,2684,0.070918987
40965,42.4,12084,1281,0.106007944
